epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.7008,3.60283,4.71271,1.22989,0,0,0,0,3.52893,3.94391,1.06998,8e-05,8e-05,8e-05
2,5.44993,4.57013,4.33873,1.27593,0.00139,0.02439,0.00071,0.00021,3.4231,3.81389,1.00524,0.000176436,0.000176436,0.000176436
3,7.92621,3.30469,3.90086,1.02844,0.00302,0.07317,0.00162,0.00032,3.34068,3.67055,0.87657,0.000268912,0.000268912,0.000268912
4,10.325,3.25414,3.43831,1.0315,0.00288,0.07317,0.00156,0.0003,3.23965,3.69296,0.88431,0.000357428,0.000357428,0.000357428
5,12.1183,3.48751,3.13785,0.96664,0.00545,0.12195,0.00307,0.00083,2.97806,3.59174,0.84775,0.000441984,0.000441984,0.000441984
6,14.1225,3.04892,2.70997,0.92732,0.00741,0.14634,0.00425,0.00143,2.76926,3.62661,0.82859,0.00052258,0.00052258,0.00052258
7,15.9561,3.10713,2.39456,0.91659,0.03855,0.80488,0.03493,0.01071,2.7194,3.51557,0.81418,0.000599216,0.000599216,0.000599216
8,17.952,3.31408,2.11949,0.93262,0.03119,0.7561,0.032,0.01038,2.94523,3.38562,0.85257,0.000671892,0.000671892,0.000671892
9,20.8336,3.01571,1.90755,0.89782,0.02046,0.73171,0.0509,0.01547,2.83513,3.08635,0.83846,0.000740608,0.000740608,0.000740608
10,23.5095,2.98821,1.75655,0.90659,0.01707,0.70732,0.06536,0.01824,2.79829,2.95192,0.80766,0.000805364,0.000805364,0.000805364
11,25.5275,2.73886,1.50238,0.86556,0.01437,0.68293,0.05434,0.01889,2.66808,2.85679,0.79777,0.00086616,0.00086616,0.00086616
12,27.9134,2.6823,1.43327,0.87473,0.0126,0.58537,0.07836,0.02006,2.82527,2.7599,0.8493,0.000922996,0.000922996,0.000922996
13,29.9517,3.06553,1.49473,0.91192,0.01488,0.68293,0.14418,0.04833,2.82501,2.66483,0.83514,0.000975872,0.000975872,0.000975872
14,31.8881,3.19444,1.47061,0.90692,0.01845,0.73171,0.19916,0.06238,2.76925,2.52214,0.80436,0.00102479,0.00102479,0.00102479
15,34.0615,3.23935,1.4344,0.87486,0.02347,0.7561,0.19352,0.05405,2.67629,2.40933,0.79622,0.00106974,0.00106974,0.00106974
16,35.7737,2.93055,1.31339,0.88927,0.02709,0.80488,0.37048,0.106,2.44083,2.30657,0.78712,0.00111074,0.00111074,0.00111074
17,37.8197,2.7052,1.28329,0.8887,0.67643,0.53659,0.55809,0.17052,2.26035,2.09771,0.79478,0.00114778,0.00114778,0.00114778
18,39.7897,2.95136,1.30981,0.91356,0.77786,0.36585,0.51494,0.16701,2.38949,1.93903,0.79776,0.00118085,0.00118085,0.00118085
19,41.5145,2.5178,1.1925,0.88381,0.76105,0.31101,0.55536,0.1642,2.62219,1.81037,0.81489,0.00120997,0.00120997,0.00120997
20,43.4756,2.57449,1.06425,0.88014,0.78276,0.43943,0.616,0.20418,2.4894,1.61887,0.80211,0.00123512,0.00123512,0.00123512
21,45.3818,2.45326,1.04937,0.88919,0.83456,0.49228,0.68637,0.2632,2.2723,1.56791,0.79035,0.001208,0.001208,0.001208
22,46.7841,2.26262,1.10014,0.84888,0.83969,0.51106,0.68909,0.27199,2.13582,1.47974,0.78435,0.0011684,0.0011684,0.0011684
23,48.5732,2.86612,1.15345,0.87542,0.88619,0.56998,0.69405,0.29411,2.07491,1.43102,0.77551,0.0011288,0.0011288,0.0011288
24,50.4682,2.6963,1.24993,0.85287,0.84387,0.68293,0.72068,0.24822,2.22322,1.35971,0.76565,0.0010892,0.0010892,0.0010892
25,52.1545,2.84668,1.31599,0.86323,0.75419,0.70732,0.72997,0.24972,2.19761,1.31013,0.76531,0.0010496,0.0010496,0.0010496
26,53.7497,2.48625,1.06177,0.85513,0.78391,0.70788,0.81273,0.27497,2.18221,1.24641,0.77452,0.00101,0.00101,0.00101
27,55.5165,2.57782,1.0671,0.88144,0.71884,0.686,0.76612,0.26688,2.34956,1.20282,0.78641,0.0009704,0.0009704,0.0009704
28,57.3095,2.59559,1.21822,0.84893,0.73768,0.65854,0.70821,0.22136,2.57912,1.18285,0.78673,0.0009308,0.0009308,0.0009308
29,58.9243,2.79393,1.1435,0.83752,0.78296,0.68293,0.77594,0.28761,2.31454,1.08511,0.77598,0.0008912,0.0008912,0.0008912
30,60.8172,2.56484,1.07095,0.85465,0.84754,0.80488,0.82841,0.34079,2.07984,1.01152,0.77422,0.0008516,0.0008516,0.0008516
31,62.5465,2.51417,1.02064,0.87673,0.89996,0.80488,0.84207,0.29082,2.25991,1.02022,0.78567,0.000812,0.000812,0.000812
32,64.4612,2.44673,1.07816,0.85397,0.84526,0.82927,0.80516,0.2407,2.35355,1.01635,0.78093,0.0007724,0.0007724,0.0007724
33,65.9229,2.5628,1.08346,0.84896,0.84205,0.82927,0.8116,0.26965,2.18727,0.96587,0.76917,0.0007328,0.0007328,0.0007328
34,68.2469,2.32096,0.98932,0.83303,0.84817,0.82927,0.8314,0.29764,2.02178,0.92911,0.7645,0.0006932,0.0006932,0.0006932
35,69.7488,2.36852,1.04516,0.84386,0.84101,0.82927,0.83148,0.30179,1.9779,0.92905,0.76149,0.0006536,0.0006536,0.0006536
36,71.5152,2.41803,1.06686,0.84127,0.81575,0.86402,0.85401,0.35938,1.86034,0.89888,0.75332,0.000614,0.000614,0.000614
37,73.1662,2.33555,0.93162,0.84367,0.81439,0.8562,0.85271,0.35823,1.87402,0.91308,0.75488,0.0005744,0.0005744,0.0005744
38,75.0865,2.29847,0.99561,0.83128,0.82412,0.87805,0.8497,0.36356,1.92145,0.90584,0.75785,0.0005348,0.0005348,0.0005348
39,76.9595,2.28781,0.95471,0.83676,0.82625,0.87805,0.84871,0.34974,1.92468,0.90311,0.76047,0.0004952,0.0004952,0.0004952
40,78.4041,2.2514,0.90601,0.86871,0.83286,0.90244,0.8635,0.36675,1.96963,0.90968,0.76704,0.0004556,0.0004556,0.0004556
41,80.1717,2.21161,0.8433,0.84549,0.82652,0.90244,0.86458,0.3597,1.98996,0.91039,0.7669,0.000416,0.000416,0.000416
42,81.9007,2.06353,0.90271,0.80402,0.83419,0.85903,0.86313,0.34697,1.98153,0.9082,0.76626,0.0003764,0.0003764,0.0003764
43,83.1868,2.03834,0.8979,0.80847,0.82968,0.83175,0.8477,0.32797,2.01525,0.9101,0.76759,0.0003368,0.0003368,0.0003368
44,84.8162,2.11008,0.91093,0.85787,0.82418,0.85366,0.87405,0.31976,2.03054,0.90705,0.76774,0.0002972,0.0002972,0.0002972
45,86.2056,1.96772,0.88951,0.83619,0.8602,0.85366,0.86707,0.32217,2.02803,0.90094,0.76583,0.0002576,0.0002576,0.0002576
46,87.5956,2.00113,0.82822,0.82528,0.85247,0.85366,0.86896,0.33286,1.9969,0.89165,0.76235,0.000218,0.000218,0.000218
47,89.0632,2.01321,0.85733,0.87448,0.87395,0.84569,0.86794,0.34254,1.95361,0.88343,0.75922,0.0001784,0.0001784,0.0001784
48,90.6955,1.95712,0.90534,0.81706,0.8993,0.87139,0.89442,0.38551,1.88274,0.8704,0.75419,0.0001388,0.0001388,0.0001388
49,92.2571,1.92477,0.80672,0.83006,0.87747,0.87345,0.89189,0.39166,1.87389,0.87061,0.75425,9.92e-05,9.92e-05,9.92e-05
50,93.8568,1.93449,0.83235,0.81215,0.87765,0.87488,0.89123,0.39654,1.87269,0.87127,0.7547,5.96e-05,5.96e-05,5.96e-05
