epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.14241,2.24783,3.79273,1.16157,0.01176,0.4878,0.00889,0.00408,1.76503,3.61475,0.95297,8e-05,8e-05,8e-05
2,6.50084,2.03846,3.50598,1.04999,0.01753,0.87805,0.01658,0.00616,1.65309,3.55598,0.89005,0.000179644,0.000179644,0.000179644
3,10.4622,1.95318,2.90604,0.96842,0.01469,0.90244,0.0695,0.02265,1.64426,3.49905,0.87406,0.000278891,0.000278891,0.000278891
4,13.6291,1.87287,2.11195,0.97628,0.01368,0.90244,0.09041,0.02642,1.62763,3.45523,0.88061,0.000377743,0.000377743,0.000377743
5,16.6479,1.79722,1.74326,0.94462,0.01399,1,0.06533,0.02424,1.71845,3.38959,0.89613,0.000476198,0.000476198,0.000476198
6,19.5858,1.89115,1.39633,0.96447,0.0141,1,0.07375,0.02715,1.60345,3.31265,0.88956,0.000574258,0.000574258,0.000574258
7,22.818,1.76936,1.20284,0.96158,0.01414,1,0.07152,0.02278,1.64218,3.19626,0.89978,0.000671922,0.000671922,0.000671922
8,26.2448,2.00355,1.30841,0.94542,0.01417,1,0.07911,0.02441,1.71174,3.16614,0.90171,0.000769189,0.000769189,0.000769189
9,29.8107,1.84866,1.16058,0.9429,0.0142,1,0.046,0.01928,1.63321,3.13408,0.91615,0.000866061,0.000866061,0.000866061
10,34.8221,1.83167,1.04916,0.96743,0.01208,0.97561,0.06329,0.02573,1.78094,3.00258,0.95138,0.000962536,0.000962536,0.000962536
11,40.4556,1.89851,1.04862,0.94937,0.01065,1,0.05409,0.02732,1.62865,2.90745,0.89489,0.00105862,0.00105862,0.00105862
12,44.173,1.93318,1.0462,0.99424,0.00949,0.95122,0.36231,0.13718,1.89611,2.67903,0.99387,0.0011543,0.0011543,0.0011543
13,47.9035,1.8455,1.06153,0.95991,0.009,0.95122,0.62129,0.24579,1.92236,2.5914,1.0077,0.00124959,0.00124959,0.00124959
14,52.0426,1.75153,1.04277,0.93077,0.00764,0.97561,0.89593,0.44953,1.66602,2.4544,0.9214,0.00134448,0.00134448,0.00134448
15,56.4806,1.72875,0.98502,0.91958,0.00748,0.97561,0.94572,0.51337,1.53431,2.27665,0.90696,0.00143897,0.00143897,0.00143897
16,61.8599,1.74532,0.9905,0.95295,0.00799,1,0.8832,0.38007,1.85301,2.22257,0.99555,0.00153307,0.00153307,0.00153307
17,67.8597,1.65949,0.9884,0.96724,0.92871,0.63553,0.90646,0.40038,1.73004,2.10595,0.94298,0.00162678,0.00162678,0.00162678
18,71.7847,1.71532,0.96638,0.94422,0.94694,0.85366,0.95671,0.50148,1.5414,2.02949,0.89949,0.00172009,0.00172009,0.00172009
19,75.8923,1.63925,0.91071,0.95351,1,0.70721,0.97125,0.54317,1.49594,1.85146,0.89568,0.001813,0.001813,0.001813
20,79.1198,1.7101,0.95822,0.98433,0.77305,0.80488,0.85633,0.39835,1.74879,1.68411,0.94937,0.00190551,0.00190551,0.00190551
21,82.7441,1.77307,0.94386,0.96859,0.80799,0.92377,0.93329,0.47192,1.61607,1.50545,0.91137,0.0019208,0.0019208,0.0019208
22,85.7314,1.52943,0.91392,0.93824,0.89161,0.92683,0.95514,0.54282,1.5297,1.30356,0.90195,0.00191684,0.00191684,0.00191684
23,89.3173,1.68996,0.90381,0.91306,0.92391,0.95122,0.96538,0.55423,1.61646,1.20576,0.92768,0.00191288,0.00191288,0.00191288
24,94.0161,1.74753,0.96557,0.95212,0.94602,0.92683,0.94701,0.51575,1.59697,1.13156,0.92764,0.00190892,0.00190892,0.00190892
25,97.5962,1.67653,0.93562,0.90893,0.9259,0.9145,0.96294,0.48027,1.69239,1.13385,0.94211,0.00190496,0.00190496,0.00190496
26,100.598,1.74662,0.92156,0.94045,0.92521,0.90525,0.96468,0.48994,1.65391,1.08162,0.93035,0.001901,0.001901,0.001901
27,103.957,1.66087,0.89566,0.9571,0.94853,0.92683,0.95401,0.53523,1.49253,1.04371,0.89184,0.00189704,0.00189704,0.00189704
28,107.284,1.75366,0.88314,0.93721,0.94691,0.87805,0.93667,0.5413,1.426,0.89811,0.87933,0.00189308,0.00189308,0.00189308
29,110.361,1.65586,0.83909,0.90571,0.88193,0.90244,0.89049,0.51648,1.52099,0.89007,0.89495,0.00188912,0.00188912,0.00188912
30,113.417,1.52484,0.84148,0.92021,0.82304,0.87805,0.87271,0.48541,1.55889,0.87179,0.89988,0.00188516,0.00188516,0.00188516
31,116.422,1.61332,0.84181,0.93263,0.86777,0.87805,0.88331,0.44813,1.70795,0.86956,0.9319,0.0018812,0.0018812,0.0018812
32,119.98,1.58231,0.86987,0.94202,0.94,0.97561,0.97041,0.57077,1.40958,0.90507,0.88657,0.00187724,0.00187724,0.00187724
33,123.087,1.67701,0.90923,0.96038,0.89985,0.97561,0.96013,0.5449,1.45235,0.86447,0.89673,0.00187328,0.00187328,0.00187328
34,126.157,1.66918,0.8919,0.95492,0.96463,0.97561,0.97714,0.49887,1.52888,0.8094,0.90396,0.00186932,0.00186932,0.00186932
35,129.578,1.63499,0.81882,0.94386,0.85999,0.92683,0.9309,0.49081,1.60132,0.82944,0.92266,0.00186536,0.00186536,0.00186536
36,133.159,1.57913,0.83124,0.92044,0.92158,0.95122,0.94876,0.5462,1.51383,0.8259,0.90126,0.0018614,0.0018614,0.0018614
37,136.928,1.62904,0.88458,0.90375,0.92311,0.95122,0.9431,0.56491,1.49284,0.8077,0.89225,0.00185744,0.00185744,0.00185744
38,140.429,1.60799,0.84415,0.91766,0.94643,0.97561,0.96862,0.55741,1.55049,0.78886,0.89677,0.00185348,0.00185348,0.00185348
39,144.348,1.55942,0.79477,0.90401,0.92448,0.95122,0.94211,0.51455,1.57849,0.76837,0.90577,0.00184952,0.00184952,0.00184952
