epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.69333,2.24783,3.79273,1.16157,0.01176,0.4878,0.00889,0.00408,1.76503,3.61475,0.95297,8e-05,8e-05,8e-05
2,7.84195,2.04079,3.5069,1.05039,0.01759,0.87805,0.01663,0.00618,1.64743,3.55412,0.88925,0.000178218,0.000178218,0.000178218
3,11.8748,1.9533,2.91359,0.96795,0.01583,0.95122,0.05657,0.01913,1.60425,3.50781,0.86939,0.000274456,0.000274456,0.000274456
4,15.1813,1.87195,2.12285,0.9773,0.01416,0.92683,0.06904,0.02613,1.60678,3.45124,0.87826,0.000368714,0.000368714,0.000368714
5,19.701,1.81203,1.75669,0.94565,0.01362,1,0.05631,0.01808,1.69145,3.40738,0.88826,0.000460992,0.000460992,0.000460992
6,24.7251,1.89854,1.41965,0.96777,0.01325,1,0.06099,0.02217,1.58893,3.31007,0.88617,0.00055129,0.00055129,0.00055129
7,29.5817,1.77052,1.19438,0.9631,0.01277,0.97561,0.05939,0.01962,1.69146,3.20511,0.91232,0.000639608,0.000639608,0.000639608
8,34.482,1.96734,1.28282,0.92854,0.01318,1,0.07179,0.02252,1.59034,3.16376,0.8899,0.000725946,0.000725946,0.000725946
9,39.274,1.71465,1.10841,0.92524,0.0144,0.97561,0.06791,0.02454,1.64833,3.10285,0.9192,0.000810304,0.000810304,0.000810304
10,43.8362,1.7502,1.02447,0.94841,0.01487,1,0.08402,0.03033,1.75275,3.00342,0.93492,0.000892682,0.000892682,0.000892682
11,48.4932,1.72079,1.00313,0.92163,0.01538,1,0.0916,0.04449,1.55715,2.85877,0.90595,0.00097308,0.00097308,0.00097308
12,53.5188,1.84583,1.0061,0.98957,0.01576,0.95122,0.15301,0.05923,2.0836,2.65794,1.06679,0.0010515,0.0010515,0.0010515
13,59.1374,1.88167,1.0486,0.97195,0.01525,0.95122,0.32835,0.10141,2.01832,2.61358,1.04322,0.00112794,0.00112794,0.00112794
14,63.9145,1.84715,1.05012,0.9515,0.01292,0.97561,0.64082,0.28287,1.51307,2.6042,0.89284,0.00120239,0.00120239,0.00120239
15,68.4928,1.8426,1.01638,0.93601,0.01145,0.95122,0.58722,0.22605,1.77158,2.675,0.943,0.00127487,0.00127487,0.00127487
16,73.0967,1.80637,1.04604,0.95491,0.01133,0.95122,0.63985,0.29284,1.72874,2.57477,0.94146,0.00134537,0.00134537,0.00134537
17,77.6766,1.61881,0.99466,0.94685,0.09632,0.90244,0.70892,0.31444,1.72,2.32005,0.94529,0.00141389,0.00141389,0.00141389
18,82.3025,1.81271,0.97442,0.95191,0.56867,0.93262,0.77517,0.33122,1.7293,2.20735,0.94992,0.00148043,0.00148043,0.00148043
19,86.6652,1.66431,0.93283,0.95364,0.7892,0.6393,0.84739,0.34829,1.75474,2.03116,0.9526,0.00154498,0.00154498,0.00154498
20,91.6964,1.70522,0.95887,0.9905,0.9069,0.71293,0.90642,0.47521,1.56282,1.74598,0.90244,0.00160756,0.00160756,0.00160756
21,95.743,1.73908,0.96878,0.96717,0.86709,0.79573,0.88593,0.44688,1.57476,1.62785,0.90337,0.001604,0.001604,0.001604
