epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.24605,4.54598,5.23209,1.47533,0,0,0,0,4.2949,4.06149,1.264,8e-05,8e-05,8e-05
2,2.22013,3.76361,4.33645,1.24221,0,0,0,0,3.48188,3.87044,1.05993,0.000176436,0.000176436,0.000176436
3,3.23466,3.44546,3.82237,1.12282,0,0,0,0,3.7009,3.80017,1.05742,0.000268912,0.000268912,0.000268912
4,4.23834,3.10107,2.83515,1.04153,0.02124,0.31707,0.01412,0.00495,3.33145,3.65697,0.98038,0.000357428,0.000357428,0.000357428
5,5.29964,3.55331,2.51556,1.03099,0.02041,0.5122,0.01823,0.00503,3.17408,3.24398,0.87545,0.000441984,0.000441984,0.000441984
6,6.46277,3.04069,1.85638,0.94563,0.02623,0.7561,0.07866,0.02229,2.65181,2.89273,0.82565,0.00052258,0.00052258,0.00052258
7,7.42369,3.1777,1.79168,0.93035,0.02799,0.73171,0.18956,0.05158,2.58396,2.57802,0.82017,0.000599216,0.000599216,0.000599216
8,8.44101,3.43664,1.67678,0.94371,0.02896,0.68293,0.20542,0.07457,2.65084,2.51905,0.82596,0.000671892,0.000671892,0.000671892
9,9.396,3.14796,1.56966,0.91147,0.76046,0.15552,0.41671,0.12834,2.52687,2.29049,0.81499,0.000740608,0.000740608,0.000740608
10,10.245,3.02081,1.41123,0.91653,0.03056,0.70732,0.32243,0.07189,2.96091,2.23328,0.8512,0.000805364,0.000805364,0.000805364
11,11.2621,3.11575,1.37892,0.90363,0.47589,0.29268,0.29543,0.07683,2.90245,2.08172,0.85129,0.00086616,0.00086616,0.00086616
12,12.7013,2.74573,1.19842,0.90788,0.71691,0.30914,0.56962,0.14393,2.57889,1.88141,0.82565,0.000922996,0.000922996,0.000922996
13,13.8607,2.96113,1.28815,0.90214,0.67622,0.30597,0.56977,0.16486,2.57869,1.87738,0.83042,0.000975872,0.000975872,0.000975872
